2022-01-29 12:38:04,119 | SERVER_CODE |  INFO | [15571] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 12:38:04,121 | SERVER_CODE |  INFO | [15571] Building Model..
2022-01-29 12:38:04,209 | SERVER_CODE |  INFO | [15571] ServerCode Model built in 88ms
2022-01-29 12:38:04,209 | SERVER_CODE |  INFO | [15571] Services (1):
2022-01-29 12:38:04,209 | SERVER_CODE |  INFO | [15571]   NEAR (services/NEAR/index.js)
2022-01-29 12:38:04,211 | SERVER_CODE |  INFO | [15571] Processing finished in 100.620ms
2022-01-29 12:38:04,724 | SERVER_CODE |  INFO | [14702] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 12:38:04,726 | SERVER_CODE |  INFO | [14702] Building Model..
2022-01-29 12:38:04,812 | SERVER_CODE |  INFO | [14702] ServerCode Model built in 86ms
2022-01-29 12:38:04,812 | SERVER_CODE |  INFO | [14702] Services (1):
2022-01-29 12:38:04,812 | SERVER_CODE |  INFO | [14702]   NEAR (services/NEAR/index.js)
2022-01-29 12:38:04,814 | SERVER_CODE |  INFO | [14702] Processing finished in 98.773ms
2022-01-29 12:42:53,644 | SERVER_CODE |  INFO | [15340] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 12:42:53,645 | SERVER_CODE |  INFO | [15340] Building Model..
2022-01-29 12:42:53,753 | SERVER_CODE |  INFO | [15340] ServerCode Model built in 108ms
2022-01-29 12:42:53,753 | SERVER_CODE |  INFO | [15340] Services (1):
2022-01-29 12:42:53,753 | SERVER_CODE |  INFO | [15340]   NEAR (services/NEAR/index.js)
2022-01-29 12:42:53,755 | SERVER_CODE |  INFO | [15340] Processing finished in 119.503ms
2022-01-29 12:42:54,375 | SERVER_CODE |  INFO | [15714] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 12:42:54,377 | SERVER_CODE |  INFO | [15714] Building Model..
2022-01-29 12:42:54,476 | SERVER_CODE |  INFO | [15714] ServerCode Model built in 99ms
2022-01-29 12:42:54,476 | SERVER_CODE |  INFO | [15714] Services (1):
2022-01-29 12:42:54,476 | SERVER_CODE |  INFO | [15714]   NEAR (services/NEAR/index.js)
2022-01-29 12:42:54,479 | SERVER_CODE |  INFO | [15714] Processing finished in 113.604ms
2022-01-29 12:49:54,110 | SERVER_CODE |  INFO | [16268] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 12:49:54,112 | SERVER_CODE |  INFO | [16268] Building Model..
2022-01-29 12:49:54,197 | SERVER_CODE |  INFO | [16268] ServerCode Model built in 85ms
2022-01-29 12:49:54,197 | SERVER_CODE |  INFO | [16268] Services (1):
2022-01-29 12:49:54,197 | SERVER_CODE |  INFO | [16268]   NEAR (services/NEAR/index.js)
2022-01-29 12:49:54,199 | SERVER_CODE |  INFO | [16268] Processing finished in 96.524ms
2022-01-29 12:49:54,712 | SERVER_CODE |  INFO | [15890] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 12:49:54,714 | SERVER_CODE |  INFO | [15890] Building Model..
2022-01-29 12:49:54,799 | SERVER_CODE |  INFO | [15890] ServerCode Model built in 85ms
2022-01-29 12:49:54,799 | SERVER_CODE |  INFO | [15890] Services (1):
2022-01-29 12:49:54,799 | SERVER_CODE |  INFO | [15890]   NEAR (services/NEAR/index.js)
2022-01-29 12:49:54,801 | SERVER_CODE |  INFO | [15890] Processing finished in 96.228ms
2022-01-29 12:51:12,950 | SERVER_CODE |  INFO | [16345] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 12:51:12,952 | SERVER_CODE |  INFO | [16345] Building Model..
2022-01-29 12:51:13,050 | SERVER_CODE |  INFO | [16345] ServerCode Model built in 98ms
2022-01-29 12:51:13,050 | SERVER_CODE |  INFO | [16345] Services (1):
2022-01-29 12:51:13,050 | SERVER_CODE |  INFO | [16345]   NEAR (services/NEAR/index.js)
2022-01-29 12:51:13,052 | SERVER_CODE |  INFO | [16345] Processing finished in 110.302ms
2022-01-29 12:51:13,664 | SERVER_CODE |  INFO | [16891] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 12:51:13,666 | SERVER_CODE |  INFO | [16891] Building Model..
2022-01-29 12:51:13,768 | SERVER_CODE |  INFO | [16891] ServerCode Model built in 102ms
2022-01-29 12:51:13,768 | SERVER_CODE |  INFO | [16891] Services (1):
2022-01-29 12:51:13,768 | SERVER_CODE |  INFO | [16891]   NEAR (services/NEAR/index.js)
2022-01-29 12:51:13,770 | SERVER_CODE |  INFO | [16891] Processing finished in 113.159ms
2022-01-29 12:57:53,507 | SERVER_CODE |  INFO | [16763] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 12:57:53,509 | SERVER_CODE |  INFO | [16763] Building Model..
2022-01-29 12:57:53,612 | SERVER_CODE |  INFO | [16763] ServerCode Model built in 103ms
2022-01-29 12:57:53,613 | SERVER_CODE |  INFO | [16763] Services (1):
2022-01-29 12:57:53,613 | SERVER_CODE |  INFO | [16763]   NEAR (services/NEAR/index.js)
2022-01-29 12:57:53,615 | SERVER_CODE |  INFO | [16763] Processing finished in 115.431ms
2022-01-29 12:57:54,130 | SERVER_CODE |  INFO | [16374] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 12:57:54,132 | SERVER_CODE |  INFO | [16374] Building Model..
2022-01-29 12:57:54,234 | SERVER_CODE |  INFO | [16374] ServerCode Model built in 102ms
2022-01-29 12:57:54,234 | SERVER_CODE |  INFO | [16374] Services (1):
2022-01-29 12:57:54,234 | SERVER_CODE |  INFO | [16374]   NEAR (services/NEAR/index.js)
2022-01-29 12:57:54,237 | SERVER_CODE |  INFO | [16374] Processing finished in 115.984ms
2022-01-29 12:59:04,827 | SERVER_CODE |  INFO | [16440] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-29 12:59:04,829 | SERVER_CODE |  INFO | [16440] ServerCode Model built in 6ms
2022-01-29 12:59:04,833 | SERVER_CODE |  INFO | [16440] [714480A8-FECA-2649-FF2D-EBD38A239A00] [INVOKE SERVICE] services.NEAR.Login
2022-01-29 12:59:05,576 | SERVER_CODE |  INFO | [16440] Processing finished in 759.306ms
2022-01-29 13:06:44,689 | SERVER_CODE |  INFO | [16902] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 13:06:44,691 | SERVER_CODE |  INFO | [16902] Building Model..
2022-01-29 13:06:44,777 | SERVER_CODE |  INFO | [16902] ServerCode Model built in 86ms
2022-01-29 13:06:44,777 | SERVER_CODE |  INFO | [16902] Services (1):
2022-01-29 13:06:44,777 | SERVER_CODE |  INFO | [16902]   NEAR (services/NEAR/index.js)
2022-01-29 13:06:44,779 | SERVER_CODE |  INFO | [16902] Processing finished in 96.277ms
2022-01-29 13:06:45,398 | SERVER_CODE |  INFO | [17837] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 13:06:45,400 | SERVER_CODE |  INFO | [17837] Building Model..
2022-01-29 13:06:45,484 | SERVER_CODE |  INFO | [17837] ServerCode Model built in 85ms
2022-01-29 13:06:45,484 | SERVER_CODE |  INFO | [17837] Services (1):
2022-01-29 13:06:45,484 | SERVER_CODE |  INFO | [17837]   NEAR (services/NEAR/index.js)
2022-01-29 13:06:45,486 | SERVER_CODE |  INFO | [17837] Processing finished in 95.781ms
2022-01-29 13:13:42,568 | SERVER_CODE |  INFO | [18299] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 13:13:42,570 | SERVER_CODE |  INFO | [18299] Building Model..
2022-01-29 13:13:42,656 | SERVER_CODE |  INFO | [18299] ServerCode Model built in 86ms
2022-01-29 13:13:42,657 | SERVER_CODE |  INFO | [18299] Services (1):
2022-01-29 13:13:42,657 | SERVER_CODE |  INFO | [18299]   NEAR (services/NEAR/index.js)
2022-01-29 13:13:42,658 | SERVER_CODE |  INFO | [18299] Processing finished in 98.199ms
2022-01-29 13:13:43,174 | SERVER_CODE |  INFO | [17364] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 13:13:43,176 | SERVER_CODE |  INFO | [17364] Building Model..
2022-01-29 13:13:43,260 | SERVER_CODE |  INFO | [17364] ServerCode Model built in 84ms
2022-01-29 13:13:43,261 | SERVER_CODE |  INFO | [17364] Services (1):
2022-01-29 13:13:43,261 | SERVER_CODE |  INFO | [17364]   NEAR (services/NEAR/index.js)
2022-01-29 13:13:43,263 | SERVER_CODE |  INFO | [17364] Processing finished in 96.624ms
2022-01-29 13:15:58,420 | SERVER_CODE |  INFO | [18453] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 13:15:58,422 | SERVER_CODE |  INFO | [18453] Building Model..
2022-01-29 13:15:58,518 | SERVER_CODE |  INFO | [18453] ServerCode Model built in 96ms
2022-01-29 13:15:58,518 | SERVER_CODE |  INFO | [18453] Services (1):
2022-01-29 13:15:58,518 | SERVER_CODE |  INFO | [18453]   NEAR (services/NEAR/index.js)
2022-01-29 13:15:58,520 | SERVER_CODE |  INFO | [18453] Processing finished in 107.430ms
2022-01-29 13:15:59,140 | SERVER_CODE |  INFO | [17518] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 13:15:59,142 | SERVER_CODE |  INFO | [17518] Building Model..
2022-01-29 13:15:59,239 | SERVER_CODE |  INFO | [17518] ServerCode Model built in 97ms
2022-01-29 13:15:59,239 | SERVER_CODE |  INFO | [17518] Services (1):
2022-01-29 13:15:59,239 | SERVER_CODE |  INFO | [17518]   NEAR (services/NEAR/index.js)
2022-01-29 13:15:59,241 | SERVER_CODE |  INFO | [17518] Processing finished in 108.285ms
2022-01-29 13:20:15,646 | SERVER_CODE |  INFO | [18673] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 13:20:15,648 | SERVER_CODE |  INFO | [18673] Building Model..
2022-01-29 13:20:15,743 | SERVER_CODE |  INFO | [18673] ServerCode Model built in 95ms
2022-01-29 13:20:15,743 | SERVER_CODE |  INFO | [18673] Services (1):
2022-01-29 13:20:15,743 | SERVER_CODE |  INFO | [18673]   NEAR (services/NEAR/index.js)
2022-01-29 13:20:15,745 | SERVER_CODE |  INFO | [18673] Processing finished in 106.494ms
2022-01-29 13:20:16,278 | SERVER_CODE |  INFO | [18127] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-29 13:20:16,279 | SERVER_CODE |  INFO | [18127] Building Model..
2022-01-29 13:20:16,384 | SERVER_CODE |  INFO | [18127] ServerCode Model built in 105ms
2022-01-29 13:20:16,384 | SERVER_CODE |  INFO | [18127] Services (1):
2022-01-29 13:20:16,384 | SERVER_CODE |  INFO | [18127]   NEAR (services/NEAR/index.js)
2022-01-29 13:20:16,387 | SERVER_CODE |  INFO | [18127] Processing finished in 120.295ms
