2022-01-31 07:40:38,168 | SERVER_CODE |  INFO | [1275] ServerCode Model built in 5ms
2022-01-31 07:40:38,171 | SERVER_CODE |  INFO | [1275] [9521A574-B600-31E7-FFC2-A1BB6A509700] [INVOKE SERVICE] services.NEAR.getPrivateKey
2022-01-31 07:40:38,446 | SERVER_CODE |  INFO | [1275] Processing finished in 288.027ms
2022-01-31 07:49:40,049 | SERVER_CODE |  INFO | [1704] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:49:40,051 | SERVER_CODE |  INFO | [1704] Building Model..
2022-01-31 07:49:40,166 | SERVER_CODE |  INFO | [1704] ServerCode Model built in 115ms
2022-01-31 07:49:40,166 | SERVER_CODE |  INFO | [1704] Services (1):
2022-01-31 07:49:40,166 | SERVER_CODE |  INFO | [1704]   NEAR (services/NEAR/index.js)
2022-01-31 07:49:40,168 | SERVER_CODE |  INFO | [1704] Processing finished in 126.932ms
2022-01-31 07:49:40,682 | SERVER_CODE |  INFO | [2523] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:49:40,684 | SERVER_CODE |  INFO | [2523] Building Model..
2022-01-31 07:49:40,791 | SERVER_CODE |  INFO | [2523] ServerCode Model built in 107ms
2022-01-31 07:49:40,791 | SERVER_CODE |  INFO | [2523] Services (1):
2022-01-31 07:49:40,791 | SERVER_CODE |  INFO | [2523]   NEAR (services/NEAR/index.js)
2022-01-31 07:49:40,793 | SERVER_CODE |  INFO | [2523] Processing finished in 119.084ms
2022-01-31 07:52:09,336 | SERVER_CODE |  INFO | [2655] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:52:09,338 | SERVER_CODE |  INFO | [2655] Building Model..
2022-01-31 07:52:09,455 | SERVER_CODE |  INFO | [2655] ServerCode Model built in 117ms
2022-01-31 07:52:09,455 | SERVER_CODE |  INFO | [2655] Services (1):
2022-01-31 07:52:09,455 | SERVER_CODE |  INFO | [2655]   NEAR (services/NEAR/index.js)
2022-01-31 07:52:09,458 | SERVER_CODE |  INFO | [2655] Processing finished in 129.478ms
2022-01-31 07:52:10,072 | SERVER_CODE |  INFO | [1847] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:52:10,074 | SERVER_CODE |  INFO | [1847] Building Model..
2022-01-31 07:52:10,191 | SERVER_CODE |  INFO | [1847] ServerCode Model built in 117ms
2022-01-31 07:52:10,191 | SERVER_CODE |  INFO | [1847] Services (1):
2022-01-31 07:52:10,191 | SERVER_CODE |  INFO | [1847]   NEAR (services/NEAR/index.js)
2022-01-31 07:52:10,194 | SERVER_CODE |  INFO | [1847] Processing finished in 129.725ms
2022-01-31 07:53:10,044 | SERVER_CODE |  INFO | [2710] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:53:10,046 | SERVER_CODE |  INFO | [2710] Building Model..
2022-01-31 07:53:10,161 | SERVER_CODE |  INFO | [2710] ServerCode Model built in 115ms
2022-01-31 07:53:10,161 | SERVER_CODE |  INFO | [2710] Services (1):
2022-01-31 07:53:10,161 | SERVER_CODE |  INFO | [2710]   NEAR (services/NEAR/index.js)
2022-01-31 07:53:10,164 | SERVER_CODE |  INFO | [2710] Processing finished in 127.228ms
2022-01-31 07:53:10,670 | SERVER_CODE |  INFO | [928] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:53:10,673 | SERVER_CODE |  INFO | [928] Building Model..
2022-01-31 07:53:10,812 | SERVER_CODE |  INFO | [928] ServerCode Model built in 139ms
2022-01-31 07:53:10,813 | SERVER_CODE |  INFO | [928] Services (1):
2022-01-31 07:53:10,813 | SERVER_CODE |  INFO | [928]   NEAR (services/NEAR/index.js)
2022-01-31 07:53:10,815 | SERVER_CODE |  INFO | [928] Processing finished in 154.975ms
2022-01-31 07:56:52,191 | SERVER_CODE |  INFO | [2864] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 07:56:52,193 | SERVER_CODE |  INFO | [2864] ServerCode Model built in 5ms
2022-01-31 07:56:52,196 | SERVER_CODE |  INFO | [2864] [8EFDDFB4-902B-61B0-FF2E-43194B33D600] [INVOKE SERVICE] services.NEAR.Balance
2022-01-31 07:56:52,897 | SERVER_CODE | ERROR | [2864] Error: Status Code 301 (Moved Permanently)
    at new ResponseError (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:42:116)
    at checkStatus (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:244:9)
    at processTicksAndRejections (internal/process/task_queues.js:95:5)
